ID,Name,V(λ) Reflectance,M(λ) Reflectance,M/P Ratio,L*,a*,b*,R_reflectance,G_reflectance,B_reflectance,Specularity,Roughness
00468,"Straw From Broom","","","0.63","60.17","1.16","34.29","38.41%","27.27%","8.88%","0.00%","0.00"
00469,"Gum Green","","","0.78","88.53","-14.12","34.63","71.43%","77.75%","33.00%","0.00%","0.00"
00470,"Denim","","","1.24","33.08","1.67","-8.98","6.68%","7.53%","10.67%","0.00%","0.00"
00471,"Fabric Green","","","1.10","23.04","-6.04","2.09","2.78%","4.16%","3.39%","0.00%","0.00"
00472,"Fabric White","","","0.92","92.97","1.01","7.16","89.51%","82.00%","72.43%","0.00%","0.00"
00473,"Yarn Yellow","","","0.70","85.61","-9.89","44.26","74.76%","69.54%","21.91%","0.00%","0.00"
00474,"Suede Gray","","","1.02","57.64","0.16","0.78","25.95%","25.52%","25.04%","0.00%","0.00"
00475,"Fabric Pink","","","0.93","60.18","25.66","-5.86","48.27%","21.90%","33.27%","0.00%","0.00"
00476,"Fabric Dark Brown","","","0.79","44.19","3.83","11.20","18.11%","13.21%","9.34%","0.00%","0.00"
00477,"Table Cloth White","","","0.96","91.37","0.62","3.89","82.95%","78.78%","73.68%","0.00%","0.00"
00478,"Fabric Pink Ii","","","0.93","84.76","16.03","-0.77","88.24%","58.64%","66.95%","0.00%","0.00"
00479,"Fabric Brown","","","0.66","52.84","6.76","23.73","30.94%","19.09%","9.24%","0.00%","0.00"
00480,"Raincoat Yellow","","","0.36","70.97","6.36","68.93","68.13%","38.53%","1.40%","0.00%","0.00"
00481,"Raincoat Blue","","","2.19","32.44","-1.53","-28.21","1.28%","7.89%","18.96%","0.00%","0.00"
00482,"Raincoat Magenta Red","","","0.79","33.12","48.48","-10.42","25.91%","1.75%","11.58%","0.00%","0.00"
00483,"Cotton Shirt Blue","","","1.49","27.56","2.68","-14.73","3.96%","5.26%","9.65%","0.00%","0.00"
00484,"Cotton Cloth Light Gray","","","1.01","64.76","0.48","-0.89","33.82%","33.64%","34.50%","0.00%","0.00"
00485,"Polished Copper","","","0.83","86.56","10.82","12.94","92.79%","63.69%","53.17%","70.72%","0.00"
00486,"Polished Gold","","","0.64","91.52","-1.98","38.91","98.40%","78.73%","33.12%","80.98%","0.00"
00487,"Polished Aluminum","","","1.00","96.84","-0.26","-0.26","91.38%","92.19%","92.46%","91.99%","0.00"
00488,"Polished Silver","","","0.98","98.39","-0.60","2.78","97.00%","96.03%","91.27%","95.98%","0.00"
00489,"Macbeth Dark Skin","","","0.51","35.57","13.61","21.96","16.80%","6.98%","3.08%","0.00%","0.00"
00490,"Macbeth Light Skin","","","0.76","69.03","16.87","17.53","63.73%","33.58%","25.29%","0.00%","0.00"
00491,"Macbeth Blue Sky","","","1.48","50.27","1.43","-23.33","11.96%","19.01%","34.67%","0.00%","0.00"
00492,"Macbeth Foliage","","","0.74","39.74","-20.51","28.13","6.96%","13.17%","2.70%","0.00%","0.00"
00493,"Macbeth Blue Flower","","","1.38","56.77","16.86","-24.83","27.98%","21.62%","45.34%","0.00%","0.00"
00494,"Macbeth Bluish Green","","","1.31","70.76","-24.78","-4.19","15.91%","49.16%","45.58%","0.00%","0.00"
00495,"Macbeth Orange","","","0.26","64.48","20.18","68.89","68.24%","26.39%","0.19%","0.00%","0.00"
00496,"Macbeth Purplish Blue","","","2.13","38.96","21.51","-43.94","8.06%","8.75%","36.95%","0.00%","0.00"
00497,"Macbeth Moderate Red","","","0.48","53.76","42.79","19.71","59.51%","11.51%","11.91%","0.00%","0.00"
00498,"Macbeth Purple","","","1.19","28.43","29.10","-19.82","11.73%","3.13%","12.20%","0.00%","0.00"
00499,"Macbeth Yellow Green","","","0.68","71.99","-30.22","55.59","31.67%","51.03%","5.67%","0.00%","0.00"
00500,"Macbeth Orange Yellow","","","0.35","73.36","5.19","73.88","72.82%","42.22%","0.61%","0.00%","0.00"
00501,"Macbeth Blue","","","2.90","27.99","32.05","-52.56","4.08%","3.40%","29.81%","0.00%","0.00"
00502,"Macbeth Green","","","0.91","55.37","-41.95","29.55","4.86%","30.34%","7.81%","0.00%","0.00"
00503,"Macbeth Red","","","0.27","43.60","57.52","33.23","53.45%","2.73%","3.38%","0.00%","0.00"
00504,"Macbeth Yellow","","","0.46","83.72","-8.48","83.96","82.05%","64.44%","0.00%","0.00%","0.00"
00505,"Macbeth Magenta","","","0.81","52.94","51.40","-10.43","57.41%","9.39%","28.60%","0.00%","0.00"
00506,"Macbeth Cyan","","","2.15","49.37","-9.57","-33.12","1.14%","20.47%","41.83%","0.00%","0.00"
00507,"Macbeth White","","","0.99","96.68","-0.61","1.75","91.93%","91.87%","88.81%","0.00%","0.00"
00508,"Macbeth Neutral 0.8","","","1.00","82.10","-0.45","0.54","60.21%","60.63%","59.81%","0.00%","0.00"
00509,"Macbeth Neutral 0.65","","","1.00","66.89","-0.61","0.45","36.10%","36.64%","36.08%","0.00%","0.00"
00510,"Macbeth Neutral 0.5","","","0.99","51.86","-0.27","0.83","20.08%","20.05%","19.53%","0.00%","0.00"
00511,"Macbeth Neutral 0.35","","","0.98","35.56","-0.04","0.73","8.88%","8.77%","8.53%","0.00%","0.00"
00512,"Macbeth Black","","","0.99","20.37","-0.06","0.26","3.09%","3.08%","3.04%","0.00%","0.00"
00513,"Green Mullion Vertical","","","0.99","36.94","-10.70","5.43","4.47%","9.07%","5.75%","1.97%","0.10"
00514,"Green Mullion Horizontal","","","0.98","36.78","-10.23","5.34","3.23%","7.64%","4.32%","3.33%","0.10"
00515,"Green Metal Door","","","1.07","38.35","-7.36","0.79","3.11%","6.93%","5.90%","4.57%","0.05"
00516,"Faux Wood Desk","","","0.82","80.01","1.63","20.27","65.79%","54.51%","32.71%","4.27%","0.10"
00517,"Black Fabric Cubicle Partition","","","0.96","28.08","1.19","1.68","6.15%","5.32%","5.03%","0.02%","0.20"
00518,"Silver Cublicle Partition Frame","","","1.00","83.58","-0.47","0.72","60.31%","60.85%","59.61%","6.76%","0.05"
00519,"Table Legs","","","1.00","89.09","-1.71","1.31","72.55%","74.64%","71.80%","1.51%","0.10"
00520,"White Board","","","1.03","92.11","-1.60","-1.43","76.55%","80.35%","81.42%","6.06%","0.01"
00521,"White Painted Wall","","","0.98","94.82","-0.74","2.78","87.84%","87.52%","82.26%","1.04%","0.20"
00522,"Wallpapered Column","","","0.96","64.60","0.34","2.80","34.50%","33.36%","30.86%","0.32%","0.20"
00523,"Brown Wall","","","0.88","34.31","4.24","3.34","9.89%","7.70%","7.01%","0.07%","0.20"
00524,"Purple Wall","","","1.88","32.43","7.06","-27.81","5.25%","5.86%","18.71%","0.12%","0.20"
00525,"Wooden Door","","","0.58","71.48","10.80","39.97","64.99%","39.75%","12.00%","1.28%","0.20"
00526,"Walkway White Floor","","","0.91","78.60","0.74","7.91","57.46%","53.22%","44.21%","2.29%","0.20"
00527,"Dark Carpet","","","0.98","27.66","-0.10","1.78","5.54%","5.31%","4.88%","0.00%","0.30"
00528,"Light Cupboard","","","1.01","74.86","-0.10","-0.21","46.75%","46.78%","46.80%","2.36%","0.20"
00529,"Dark Cupboard","","","1.02","40.12","0.53","-1.25","10.24%","10.14%","10.64%","1.24%","0.20"
00530,"Orange Wall","","","0.42","72.58","22.55","52.27","82.28%","38.51%","7.22%","0.40%","0.20"
00531,"Pink Wall","","","0.45","60.52","33.65","32.09","64.56%","19.90%","9.86%","0.24%","0.20"
00532,"Dropped Ceiling","","","0.98","93.82","-0.44","2.82","85.94%","84.99%","79.93%","1.00%","0.30"
00533,"Specular Grey Metal Cabinet","","","0.92","75.76","1.35","6.05","51.89%","48.25%","41.95%","2.35%","0.05"
00534,"Opaque Roller Blind","","","1.01","91.95","-1.49","0.41","78.62%","80.93%","79.43%","1.29%","0.20"
00535,"Light Mullion","","","1.00","78.39","-0.02","0.09","52.80%","52.66%","52.15%","2.54%","0.10"
00536,"White Wall","","","0.99","93.13","-0.34","1.95","84.19%","83.19%","79.69%","1.01%","0.20"
00537,"White Laminate Desktop","","","0.98","93.28","-0.71","2.70","83.84%","83.60%","78.64%","2.67%","0.10"
00538,"Grey Cubicle Background Fabric","","","1.02","71.88","-1.43","3.62","44.44%","43.03%","39.69%","0.37%","0.30"
00539,"Light Carpet","","","0.98","46.26","-0.38","1.57","15.55%","15.56%","14.61%","0.01%","0.30"
00540,"Dark Carpet","","","1.00","29.96","0.50","-0.77","6.24%","6.19%","6.39%","0.01%","0.30"
00541,"Metal Cabinet","","","0.97","90.17","-0.45","3.43","76.97%","76.23%","70.35%","3.84%","0.05"
00542,"Cubicle Wall Top Plastic","","","0.95","86.68","-0.20","5.13","71.48%","69.41%","61.93%","0.93%","0.20"
00543,"Blue Cubicle Fabric","","","2.18","31.91","0.19","-30.22","2.78%","6.23%","19.66%","0.03%","0.30"
00544,"Blue Painted Wall","","","1.91","52.49","-4.06","-33.11","9.47%","19.34%","46.66%","0.11%","0.20"
00545,"Wood Laminate Floor","","","0.92","68.24","1.20","7.77","41.75%","37.27%","30.69%","1.11%","0.20"
00546,"Dropped Ceiling Panel","","","0.99","93.87","-0.14","1.55","85.77%","84.93%","81.99%","0.96%","0.30"
00547,"Blue Carpet","","","1.46","31.36","-3.77","-15.40","3.67%","6.97%","12.11%","0.01%","0.30"
00548,"Blackout Roller Shade Opaque","","","1.01","75.98","-0.68","0.06","48.70%","49.60%","49.05%","0.96%","0.20"
00549,"Teal Cubicle Fabric","","","1.55","44.01","-20.66","-6.64","5.10%","15.45%","17.30%","0.06%","0.30"
00550,"Dark Blue Cubicle Fabric","","","1.66","44.21","-16.48","-15.09","4.65%","15.13%","22.19%","0.06%","0.30"
00551,"Blue Wall","","","1.83","62.18","-20.07","-27.30","8.11%","32.38%","56.73%","0.21%","0.20"
00552,"Grey Painted Wall","","","1.01","73.47","-0.47","-0.59","44.94%","45.87%","46.04%","0.35%","0.20"
00553,"Purple Cubicle Fabric","","","1.45","26.86","10.65","-18.47","5.77%","3.89%","10.56%","0.03%","0.30"
00554,"Purple Painted Wall","","","1.14","32.25","20.17","-14.66","12.26%","4.62%","12.39%","0.07%","0.20"
00555,"Green Cubicle Fabric","","","0.89","55.37","-11.79","22.08","21.18%","25.51%","11.23%","0.06%","0.30"
00556,"Green Painted Wall","","","0.56","74.99","-13.17","48.21","45.17%","56.47%","9.77%","0.41%","0.20"
00557,"Purple Carpet","","","1.03","18.05","12.25","-7.00","4.25%","1.79%","3.71%","0.01%","0.30"
00558,"Carpet Grey","","","0.88","24.59","1.33","4.10","4.90%","4.24%","3.44%","0.00%","0.30"
00559,"Green Fabric Cubicle Wall","","","0.67","71.82","-5.86","40.83","49.11%","46.33%","12.36%","0.31%","0.30"
00560,"Whiteboard Cubicle Wall","","","1.02","91.78","0.04","-1.12","78.93%","78.21%","79.99%","6.99%","0.30"
00561,"Faux Wood Desk Surface","","","0.80","78.73","3.48","20.68","66.39%","52.80%","32.27%","1.78%","0.10"
00562,"Grey Metal Desk Edge","","","1.00","79.19","-1.25","0.89","52.27%","53.92%","51.94%","4.06%","0.10"
00563,"White Painted Column","","","0.99","95.19","-0.87","2.27","88.33%","88.38%","83.87%","1.07%","0.20"
00564,"White Painted Wall","","","0.99","95.26","-0.95","2.28","88.36%","88.57%","84.01%","1.09%","0.20"
00565,"Grey Mullion","","","1.09","39.37","-2.01","-2.65","7.76%","9.01%","9.87%","2.21%","0.05"
00566,"Roller Blinds Black Backing","","","0.98","78.86","-1.11","3.27","54.42%","54.51%","50.15%","1.28%","0.20"
00567,"Roller Blinds White Backing","","","0.98","86.40","-1.29","4.44","69.32%","68.84%","62.19%","1.34%","0.20"
00568,"White Metal Led Desk Lamp Arm","","","0.99","88.81","0.46","1.43","74.95%","72.87%","70.71%","2.23%","0.10"
00569,"Acoustic Ceiling Tile","","","0.99","95.70","-0.35","1.29","89.64%","89.38%","86.77%","0.80%","0.30"
00570,"Metal HVAC Ceiling Grill","","","0.94","92.43","0.02","5.97","84.32%","81.46%","71.44%","3.89%","0.10"
00571,"Blackout Roller Shade","","","0.94","88.38","-0.90","6.97","74.71%","73.35%","62.55%","1.46%","0.20"
00572,"Whiteboard Paint","","","1.00","97.78","-0.65","1.37","94.24%","94.37%","91.20%","4.99%","0.01"
00573,"Off White Door","","","0.97","94.17","-1.11","4.21","86.07%","86.11%","78.52%","2.58%","0.20"
00574,"Dark Carpet","","","0.92","22.81","0.73","2.51","4.05%","3.70%","3.24%","0.02%","0.30"
00575,"Light Carpet","","","0.94","28.79","0.96","2.12","6.19%","5.69%","5.17%","0.02%","0.30"
00576,"White Laminate Desktop","","","0.98","93.11","-0.65","2.71","83.54%","83.16%","78.18%","2.75%","0.10"
00577,"Cubicle Backdrop","","","1.07","56.75","-0.66","0.03","25.02%","24.04%","24.51%","0.21%","0.30"
00578,"Green Rolling Cabinet","","","0.85","63.48","-41.24","35.93","5.59%","40.09%","4.83%","4.90%","0.05"
00579,"Mullion Grey","","","0.96","55.58","0.36","2.40","22.10%","21.25%","19.63%","2.84%","0.10"
00580,"White Rolling Cabinet","","","1.00","94.34","-0.79","0.85","85.21%","86.06%","83.95%","2.56%","0.05"
00581,"Matte White Wall","","","0.99","91.93","0.39","1.42","81.97%","80.18%","77.81%","0.98%","0.20"
00582,"Whiteboard Wall","","","0.97","96.91","-0.76","4.01","93.47%","92.35%","84.63%","4.91%","0.01"
00583,"White Painted Ceiling","","","0.99","95.29","-0.61","1.97","88.71%","88.48%","84.71%","1.04%","0.20"
00584,"Acoustic Ceiling Tiles","","","1.00","95.09","-0.12","0.78","88.13%","87.82%","86.11%","0.86%","0.30"
00585,"Wooden Cabinet","","","0.65","57.58","10.49","24.63","38.43%","23.19%","11.10%","0.42%","0.20"
00586,"Wood Laminate Table Top","","","0.78","75.76","5.08","18.31","61.12%","47.79%","30.81%","1.41%","0.10"
00587,"Grey Carpet","","","0.96","31.97","0.19","1.69","7.31%","7.08%","6.54%","0.00%","0.30"
00588,"Dark Purple Column","","","0.99","29.53","14.19","-6.14","9.66%","4.47%","7.76%","0.09%","0.20"
00589,"Grey Window Mullion","","","1.01","75.45","-0.47","-0.71","46.18%","47.16%","47.65%","3.74%","0.10"
00590,"White Painted Concrete Wall","","","0.99","95.58","-0.90","2.19","89.11%","89.33%","84.95%","1.07%","0.20"
00591,"Dark Felt Acoustic Wall Covering","","","0.90","32.83","3.04","2.84","8.79%","7.02%","6.48%","0.15%","0.30"
00592,"Grey Aluminum Table Legs","","","1.02","63.84","-0.61","-0.92","28.05%","28.76%","28.95%","5.52%","0.05"
00593,"White Painted Column","","","0.99","95.42","-0.92","2.36","88.84%","88.96%","84.23%","1.13%","0.20"
00594,"Light Shelf Bottom Surface","","","1.01","77.39","-0.68","-0.31","48.51%","49.63%","49.58%","5.52%","0.05"
00595,"Light Shelf Top Surface","","","1.00","77.55","-0.60","0.15","49.29%","50.07%","49.51%","5.15%","0.05"
00596,"White Acoustic Ceiling Panels","","","0.99","94.78","-0.22","1.22","87.52%","87.17%","84.71%","0.79%","0.30"
00597,"Grey Aluminum Desk Divider Frame","","","1.01","75.73","-0.57","-0.68","46.02%","47.14%","47.59%","4.68%","0.05"
00598,"Grey Carpet","","","0.91","23.94","1.47","2.80","4.61%","4.00%","3.50%","0.00%","0.30"
00599,"White Painted Wall","","","0.99","97.20","-0.54","1.66","93.29%","93.09%","89.80%","1.25%","0.20"
00600,"Grey Painted Wall","","","0.90","42.85","1.14","4.89","14.25%","13.00%","10.84%","0.04%","0.20"
00601,"Grey Mullion","","","0.96","54.02","0.29","2.59","20.72%","19.88%","18.16%","2.64%","0.10"
00602,"White Laminate Desktop","","","1.02","93.30","0.24","-0.66","83.75%","82.63%","84.14%","2.91%","0.10"
00603,"Metal Filing Cabinet","","","0.93","76.32","1.14","5.38","52.14%","48.66%","42.59%","3.28%","0.10"
00604,"Opaque Roller Shade","","","1.03","71.83","-2.01","0.49","42.10%","43.53%","42.55%","0.28%","0.20"
00605,"Grey Carpet","","","0.92","37.60","0.10","4.35","10.48%","9.89%","8.24%","0.03%","0.30"
00606,"Faux Wood Table","","","0.95","79.07","0.22","6.10","57.21%","53.78%","46.78%","2.58%","0.10"
00607,"White Wall","","","0.99","94.69","-0.69","2.28","87.40%","87.08%","82.74%","1.10%","0.20"
00608,"White Door","","","0.98","93.27","-1.64","4.10","82.98%","83.74%","75.83%","4.54%","0.20"
00609,"Black Chair","","","1.05","15.51","0.58","-1.87","2.01%","1.95%","2.22%","0.01%","0.20"
00610,"Exterior Wood Wall","","","0.96","45.08","1.19","2.09","15.19%","14.03%","13.16%","0.48%","0.20"
00611,"Orange Couch","","","0.40","54.85","32.92","38.06","53.97%","13.64%","3.59%","1.76%","0.30"
00612,"Light Beige Carpet","","","0.78","44.14","2.86","12.38","17.21%","13.69%","8.72%","0.04%","0.30"
00613,"Faux Wood Shelves","","","0.80","78.01","2.31","20.38","62.61%","51.71%","30.78%","2.91%","0.10"
00614,"White Painted Wall","","","0.91","91.26","-0.02","8.80","83.32%","79.64%","66.00%","0.84%","0.20"
00615,"Blue Cubicle Fabric","","","1.42","49.95","-8.22","-15.19","10.74%","19.00%","27.88%","0.09%","0.30"
00616,"Grey Cubicle Fabric","","","1.03","48.37","-0.73","-1.31","15.56%","16.33%","16.83%","1.03%","0.30"
00617,"Green Cubicle Fabric","","","0.81","72.36","-16.29","36.70","40.28%","49.21%","15.24%","0.48%","0.30"
00618,"White Mullions","","","0.98","91.07","-0.80","3.13","78.34%","78.20%","72.41%","4.55%","0.10"
00619,"Grey Door","","","0.99","72.72","-0.42","1.00","43.68%","43.83%","42.41%","1.93%","0.20"
00620,"Faux Wood Desktop","","","0.79","79.27","2.30","21.43","65.54%","54.03%","31.64%","2.77%","0.10"
00621,"Light Shelf Top Material","","","0.93","88.21","-1.01","8.16","46.66%","46.84%","45.84%","49.44%","0.05"
00622,"Light Shelf Bottom Material","","","0.98","92.56","-0.95","2.70","81.38%","81.81%","76.53%","4.21%","0.05"
00623,"White Mullions 2","","","0.99","92.30","-1.03","2.16","80.38%","81.18%","76.65%","4.24%","0.10"
00624,"Specular Reflective Ceiling Panels","","","0.97","90.67","-1.39","4.80","77.08%","76.73%","68.19%","7.41%","0.05"
00625,"UFAD Duct Cover","","","1.01","26.08","0.01","-0.40","1.92%","2.02%","2.13%","2.83%","0.10"
00626,"White Marker Board","","","1.02","92.76","0.83","-2.77","81.15%","80.25%","85.54%","7.39%","0.01"
00627,"Light Beige Carpet 2","","","0.76","44.86","3.17","13.88","18.22%","14.24%","8.60%","0.00%","0.30"
00628,"Grey Filing Cabinet","","","0.97","71.61","-1.77","3.50","41.15%","42.45%","38.05%","2.37%","0.10"
00629,"Dark Faux Wood Cabinets","","","0.68","69.98","12.78","28.68","62.05%","35.41%","16.68%","2.28%","0.20"
00630,"Light Gravel Sidewalk","","","0.92","57.68","0.90","5.14","27.45%","25.43%","21.93%","0.19%","0.30"
00631,"Wood Plank Walkway","","","0.89","37.82","3.06","4.03","11.62%","9.58%","8.41%","0.11%","0.30"
00632,"Dark Gravel Sidewalk","","","0.93","43.60","0.09","4.07","14.24%","13.61%","11.67%","0.04%","0.30"
00633,"Grass","","","0.68","39.70","-6.17","18.33","10.33%","12.51%","4.82%","0.02%","0.20"
00634,"Frame Material For Exterior Louvers And Lightshelves","","","0.98","92.87","-0.66","2.69","83.12%","82.74%","78.26%","1.65%","0.10"
00635,"Thin Film PV on White Exterior Louver","","","1.30","28.89","-0.85","-10.59","3.37%","4.55%","7.42%","1.23%","0.10"
00636,"Curved Exterior Louvers","","","0.99","78.52","-1.32","1.54","52.99%","54.44%","51.78%","0.56%","0.20"
00637,"Dirty Exterior Concrete","","","0.74","59.11","3.69","18.84","34.08%","26.74%","15.07%","0.20%","0.20"
00638,"Red Painted Mullions Exterior","","","0.45","36.84","36.91","19.75","27.69%","1.91%","2.40%","1.87%","0.10"
00639,"Tree Trunk","","","0.73","34.52","2.88","12.50","10.40%","8.06%","4.59%","0.11%","0.30"
00640,"Grass","","","0.67","32.93","-3.40","16.80","7.67%","8.18%","3.12%","0.08%","0.20"
00641,"Tree Foliage","","","0.68","38.94","-8.35","17.18","8.63%","12.21%","4.59%","0.22%","0.20"
00642,"Grey Exterior Facade Panels","","","1.00","73.68","-0.29","0.66","44.26%","44.50%","43.64%","3.33%","0.10"
00643,"Road Asphalt","","","0.92","37.91","0.76","4.07","10.86%","9.98%","8.50%","0.04%","0.30"
00644,"Elevated Concrete Walkway","","","0.93","35.37","0.20","3.38","9.15%","8.69%","7.50%","0.03%","0.30"
00645,"Grey Handrail","","","0.95","66.46","0.29","3.86","36.24%","34.89%","31.41%","1.73%","0.20"
00646,"Specular Handrail","","","0.95","77.32","0.74","4.71","41.75%","40.13%","36.58%","20.28%","0.10"
00647,"Red Paint Exterior","","","0.41","51.95","46.68","24.89","58.10%","6.32%","6.09%","2.82%","0.10"
00648,"Exterior White Wall","","","0.96","91.76","-0.12","4.38","82.46%","80.22%","73.23%","0.97%","0.20"
00649,"White Painted Wall","","","0.98","94.21","-0.86","3.06","86.39%","86.13%","80.44%","1.06%","0.20"
00650,"Brown And Black Carpet","","","0.84","24.43","2.57","4.78","5.15%","4.10%","3.27%","0.00%","0.30"
00651,"Beige Cubicle Partition Fabric","","","0.95","81.06","-0.71","9.24","62.60%","58.01%","47.40%","0.97%","0.30"
00652,"White Shelf","","","0.99","94.03","-0.67","1.95","85.36%","85.35%","81.55%","2.28%","0.10"
00653,"Desk Background Laminate Wood","","","0.84","72.79","3.15","15.40","53.62%","43.58%","30.20%","0.73%","0.20"
00654,"Desk Background Yellow Fabric","","","0.48","63.97","9.82","56.15","52.31%","30.99%","2.30%","0.48%","0.20"
00655,"Laminate Desktop","","","0.79","73.83","4.14","18.55","57.07%","45.40%","28.96%","0.51%","0.20"
00656,"Grey Specular Mullion","","","0.90","58.68","0.66","6.82","25.67%","23.54%","18.40%","4.26%","0.05"
00657,"White Table Top","","","1.01","92.12","-0.93","-0.05","79.23%","80.75%","80.37%","2.76%","0.10"
00658,"Brushed Metal Table Leg","","","0.93","77.15","0.78","6.67","38.25%","36.91%","32.83%","24.24%","0.05"
00659,"Dropped Ceiling Panel","","","1.00","94.08","-0.50","0.83","85.32%","85.50%","83.66%","0.87%","0.30"
00660,"Opaque Roller Shade","","","0.92","79.28","-0.01","7.25","58.20%","55.58%","46.70%","0.59%","0.20"
00661,"Cubicle Partition Fabric","","","0.82","70.69","6.71","18.02","55.41%","39.08%","26.19%","0.39%","0.30"
00662,"Cubicle Partition Laminated Wood","","","0.84","74.39","2.65","15.65","55.94%","46.19%","31.87%","0.80%","0.20"
00663,"Grey Couch","","","0.91","52.60","-0.24","5.78","21.72%","20.79%","17.16%","0.12%","0.30"
00664,"Dark Brown Cupboard","","","1.00","34.50","0.53","-0.39","8.05%","7.88%","8.01%","0.35%","0.20"
00665,"Dark Brown Wall","","","0.98","33.00","0.67","0.26","7.56%","7.28%","7.21%","0.22%","0.20"
00666,"Grey Fabric Pin Board","","","1.01","61.19","-0.23","-0.65","28.75%","29.13%","29.42%","0.54%","0.20"
00667,"Black Painted Mullion","","","1.01","25.47","0.08","-0.54","3.27%","3.32%","3.45%","1.29%","0.10"
00668,"Dark Brown Cubicle Partition Cladding","","","0.99","33.23","0.61","-0.13","7.48%","7.27%","7.32%","0.35%","0.30"
00669,"Grey Stone Exterior Floor","","","0.95","57.23","-0.29","3.90","25.79%","25.18%","22.26%","0.21%","0.30"
00670,"Grey Painted Metal Column","","","0.88","38.32","1.89","5.02","11.49%","10.06%","8.30%","0.12%","0.20"
00671,"Outside Wooden Bench","","","0.81","38.88","4.86","8.11","13.51%","9.90%","7.49%","0.19%","0.20"
00672,"Exterior Grey Mullion","","","0.91","55.81","0.60","6.52","24.06%","22.18%","17.89%","2.06%","0.10"
00673,"Grey Stone Exterior Floor Tile","","","0.95","53.26","-0.34","3.38","21.69%","21.30%","19.00%","0.19%","0.30"
00674,"Terazzo Tile","","","0.94","81.61","0.52","5.96","61.97%","58.70%","51.30%","2.37%","0.10"
00675,"White Wall Plaster","","","0.90","92.24","0.19","10.24","86.89%","81.95%","66.30%","0.00%","0.20"
00676,"Off White Door","","","0.86","90.13","1.63","14.71","85.93%","75.94%","55.42%","3.02%","0.20"
00677,"Aluminum Window Mullion","","","1.00","77.01","-0.68","0.66","49.47%","50.36%","49.42%","2.97%","0.10"
00678,"White Painted Ceiling","","","0.98","95.64","-0.55","2.79","90.15%","89.57%","84.59%","0.00%","0.20"
00679,"Ceramic Grey Tile","","","1.00","41.62","-0.18","0.65","12.23%","12.13%","11.87%","0.14%","0.20"
00680,"Glossy White Tile","","","0.99","94.36","-0.40","1.71","85.96%","85.83%","82.48%","4.04%","0.05"
00681,"Laminate Brown Table","","","0.83","48.50","3.96","8.66","20.40%","16.06%","12.16%","0.76%","0.20"
00682,"Lamintate Dark Brown Countertop","","","1.00","39.87","0.61","0.08","10.65%","10.30%","10.34%","0.88%","0.20"
00683,"Parquet Floor","","","0.55","44.87","14.47","24.62","24.17%","10.69%","3.41%","1.89%","0.20"
00684,"Light Grey Floor Tile","","","0.97","78.39","-0.62","2.71","53.19%","53.29%","49.72%","2.16%","0.10"
00685,"White Plaster Wall","","","0.98","95.84","-0.57","3.38","90.94%","90.02%","84.05%","0.13%","0.20"
00686,"Door","","","0.92","33.52","2.92","2.26","8.33%","6.91%","6.49%","0.66%","0.20"
00687,"Red Painted Wall","","","0.37","45.63","45.94","27.84","46.21%","1.56%","0.91%","3.96%","0.20"
00688,"White TV Console","","","1.01","91.14","-0.61","0.07","77.13%","77.53%","77.14%","5.65%","0.10"
00689,"White Aluminum Mullion","","","1.09","87.50","-2.54","-4.77","64.48%","70.01%","76.37%","4.31%","0.10"
00690,"Dining Table","","","0.93","30.16","1.20","1.79","1.34%","1.14%","0.84%","5.25%","0.10"
00691,"White Leather Chair","","","0.96","84.53","0.31","4.66","67.88%","64.74%","58.64%","0.77%","0.20"
00692,"Brown Floor Tile","","","0.87","50.75","3.40","6.79","21.62%","17.68%","14.43%","1.10%","0.20"
00693,"PVC Toilet Door","","","1.12","66.17","-2.24","-6.71","31.08%","35.40%","41.46%","0.56%","0.20"
00694,"White Painted Door","","","0.93","91.51","-0.35","8.47","83.41%","79.50%","66.34%","2.98%","0.20"
00695,"White Dressing Table","","","0.96","92.70","-0.55","4.57","83.97%","82.31%","74.70%","2.08%","0.20"
00696,"Black Leather Bed Headboard","","","1.02","24.66","-0.06","-0.71","3.90%","3.98%","4.13%","0.34%","0.20"
00697,"Grey Wall Tile","","","0.90","80.27","0.74","9.32","61.06%","55.93%","44.68%","3.00%","0.10"
00698,"Grey Floor Tile","","","0.96","58.08","0.66","2.15","26.60%","25.41%","23.93%","0.74%","0.20"
00699,"PVC White Toilet Door","","","1.08","95.10","1.14","-8.27","84.15%","85.80%","102.56%","4.87%","0.10"
00700,"Red Laminate Cabinet Door","","","0.36","46.18","46.77","28.24","49.35%","5.02%","4.42%","0.63%","0.20"
00701,"Black Countertop","","","1.00","24.23","0.14","-0.17","1.55%","1.54%","1.54%","2.67%","0.10"
00702,"White Laminate Cabinet Door","","","1.00","92.75","-1.39","1.67","81.28%","82.58%","79.40%","1.86%","0.10"
00703,"Grey Ceramic Tile Floor","","","0.94","78.10","0.60","5.79","55.45%","52.30%","45.64%","2.36%","0.10"
00704,"Beige Plaster Wall","","","0.86","82.86","1.38","12.25","68.79%","62.01%","47.10%","0.31%","0.20"
00705,"White Ceramic Tile Wall","","","0.99","92.05","-0.44","1.21","80.09%","80.19%","77.71%","4.35%","0.10"
00706,"Beige Door","","","0.82","76.63","4.35","13.78","60.28%","49.91%","36.45%","0.72%","0.20"
